x,y,z
-32.93495941,22.09806633,-1.1789546
-32.98495865,22.24806786,-1.1789546
-32.93495941,22.19806671,-1.1789546
-32.93495941,22.24806786,-1.1789546
-32.83496094,21.54806709,-1.1789546
-32.88496017,21.69806671,-1.12895465
-32.88496017,21.79806709,-1.12895465
-32.88496017,21.84806633,-1.12895465
-32.68495941,21.69806671,-1.07895458
-32.63496017,21.84806633,-1.12895465
-32.63496017,21.84806633,-1.07895458
-32.7849617,21.84806633,-0.6789546
-32.68495941,21.49806786,-0.6789546
-32.63496017,21.49806786,-0.6789546
-32.58496094,21.49806786,-0.6789546
-32.5349617,21.59806633,-0.52895463
-32.88496017,21.89806747,-1.12895465
-32.88496017,21.99806786,-1.12895465
-32.88496017,22.04806709,-1.12895465
-32.88496017,22.19806671,-1.1789546
-32.83496094,21.89806747,-0.6789546
-32.38496017,21.29806709,-1.97895455
-32.48495865,21.19806671,-1.52895463
-32.33496094,21.39806747,-1.47895455
-32.23495865,21.14806747,-1.52895463
-32.18495941,21.24806786,-1.52895463
-32.2849617,21.34806633,-1.52895463
-32.18495941,21.44806671,-1.52895463
-31.88496017,21.04806709,-1.47895455
-31.93496132,21.19806671,-1.9289546
-31.83496094,21.19806671,-1.9289546
-31.83496094,21.14806747,-1.47895455
-31.78495979,21.19806671,-1.4289546
-31.88496017,21.39806747,-1.4289546
-31.73496056,21.34806633,-1.4289546
-31.78495979,21.39806747,-1.4289546
-32.2849617,20.79806709,-1.02895463
-32.2849617,20.74806786,-0.97895461
-32.18495941,20.69806671,-0.97895461
-32.48495865,21.39806747,-1.02895463
-32.2849617,21.39806747,-1.02895463
-32.13496017,21.39806747,-1.02895463
-32.38496017,21.44806671,-0.57895458
-32.2849617,21.44806671,-0.57895458
-32.23495865,21.39806747,-0.57895458
-31.93496132,21.09806633,-1.07895458
-31.88496017,21.19806671,-1.02895463
-31.88496017,21.24806786,-1.02895463
-31.88496017,21.34806633,-1.02895463
-31.78495979,21.39806747,-1.07895458
-31.73496056,21.44806671,-1.07895458
-31.93496132,21.39806747,-0.6789546
-31.88496017,21.39806747,-0.62895459
-32.43495941,21.54806709,-1.57895458
-32.48495865,21.54806709,-1.47895455
-32.48495865,21.59806633,-1.52895463
-32.38496017,21.59806633,-1.52895463
-32.23495865,21.59806633,-1.47895455
-32.18495941,21.59806633,-1.52895463
-32.18495941,21.64806747,-1.47895455
-32.23495865,21.94806671,-1.97895455
-32.38496017,21.94806671,-1.57895458
-32.38496017,22.09806633,-1.57895458
-32.2849617,22.04806709,-1.57895458
-32.23495865,22.19806671,-1.52895463
